parser,checkpoint,log_err_shallow_bb,log_err_medium_bb,log_err_deep_bb,log_err_shallow_gb,log_err_medium_gb,log_err_deep_gb,diff_shallow,diff_medium,diff_deep
parsera,0.1,5.6413404347419345,5.960143090290404,5.337102571325968,5.727634809959909,5.763969691495576,5.283714000129837,0.08629437521797456,-0.1961733987948282,-0.053388571196130385
parsera,0.25,5.999043160948374,6.303035726881753,5.447498090348858,6.090986346702023,6.057668356308865,5.416876481338231,0.09194318575364857,-0.2453673705728887,-0.030621609010626827
parsera,0.5,6.287987737242216,6.552437785811394,5.536074181891127,6.373637787507266,6.250497109115028,5.532997185188083,0.08565005026505013,-0.3019406766963657,-0.003076996703044621
parsera,0.75,6.465701476399916,6.697863499467745,5.587160756720689,6.54626673972094,6.367130573355322,5.608485312062234,0.08056526332102365,-0.33073292611242344,0.021324555341545093
parsera,1.0,6.581513616773622,6.80516487284486,5.633629394466231,6.675080642956185,6.434052837101466,5.667431800511493,0.09356702618256296,-0.37111203574339413,0.03380240604526197
parserc,0.1,9.948509854792844,2.8039992725736402,7.020885107227298,9.930692995002914,3.0313851939124308,6.702624858173762,-0.01781685978992975,0.22738592133879054,-0.31826024905353556
parserc,0.25,9.855924453550411,3.0574846203753485,6.611708116659528,9.791354222287756,3.3117378750883386,6.348924214305922,-0.06457023126265504,0.2542532547129901,-0.2627839023536067
parserc,0.5,9.762102257619185,3.2705514844167674,6.323534493528809,9.680410533356998,3.541703163772516,6.093659731016726,-0.08169172426218729,0.2711516793557487,-0.22987476251208339
parserc,0.75,9.685788558998194,3.403228808410526,6.1604689500958445,9.58893217626966,3.682505410606561,5.948038085415651,-0.09685638272853403,0.2792766021960351,-0.21243086468019357
parserc,1.0,9.6399165737856,3.499123665763429,6.050842434374047,9.530919926105787,3.786464959831557,5.846625827035481,-0.10899664767981321,0.28734129406812814,-0.20421660733856584
parserd,0.1,12.598740674738263,3.5744606279504203,14.297203281255275,9.743555168081556,3.7215290655767816,13.73920521269891,-2.8551855066567065,0.14706843762636135,-0.5579980685563655
parserd,0.25,12.55218726776585,3.913544563384599,13.93379204058948,10.249705573720231,4.158266011076908,13.48815034661164,-2.3024816940456194,0.24472144769230875,-0.4456416939778407
parserd,0.5,12.473967416035027,4.180375023280668,13.668217280620482,10.414205481606391,4.425503317846967,13.230178904382957,-2.0597619344286358,0.2451282945662996,-0.4380383762375253
parserd,0.75,12.405467787847943,4.334307061766983,13.514518668495247,10.436933126726284,4.585840899806607,13.09403910395529,-1.9685346611216588,0.2515338380396237,-0.42047956453995816
parserd,1.0,12.377976572149782,4.445572075049444,13.408474836669821,10.456012096850857,4.698423528696136,12.991993162952326,-1.9219644752989247,0.2528514536466915,-0.4164816737174952
parsere,0.1,16.413348407957027,4.244533240695599,23.65858398702426,15.689922169830886,4.343563022556793,22.998895195330938,-0.7234262381261409,0.09902978186119427,-0.6596887916933234
parsere,0.25,16.368556642524275,4.5078658307772175,23.305623858797606,14.136316401695467,4.601936045480237,22.36820129906276,-2.2322402408288085,0.09407021470301924,-0.9374225597348449
parsere,0.5,16.52927706432724,4.711816667429089,23.03821112819881,14.130957403502642,4.794756196521817,22.092295361282332,-2.3983196608245976,0.08293952909272839,-0.9459157669164782
parsere,0.75,16.542449338527597,4.837873702043835,22.87841657735455,14.127277730544506,4.915767661270436,21.930880271815678,-2.4151716079830905,0.0778939592266017,-0.9475363055388719
parsere,1.0,16.554981648733484,4.931282332689955,22.768278132365758,14.124723118736608,5.001027577187276,21.819323790018913,-2.430258529996877,0.06974524449732122,-0.9489543423468447
parserf,0.1,20.3584846298778,3.713703768362199,31.48244840840088,18.33007342516425,3.9177589083354944,30.154799865368553,-2.0284112047135494,0.2040551399732955,-1.3276485430323284
parserf,0.25,20.175354749209014,3.9841781127178812,31.09907890672228,18.871035397761137,4.410709399452478,30.12936348450615,-1.3043193514478766,0.4265312867345967,-0.9697154222161295
parserf,0.5,20.000094348034892,4.194187876275574,30.812468239368904,18.676561430950958,4.622894537849102,29.83474435188463,-1.3235329170839343,0.42870666157352755,-0.9777238874842737
parserf,0.75,19.9651926546901,4.323229542908367,30.701305976976755,18.56429113822446,4.75414788278431,29.663516937546305,-1.400901516465641,0.4309183398759435,-1.03778903943045
parserf,1.0,19.92468673920037,4.4151320412385635,30.611893738852075,18.484477133229472,4.843767223160419,29.541297135824763,-1.4402096059708995,0.42863518192185524,-1.0705966030273117
