checkpoint,checkpoint_pct,depth_bin,mean_log_err
0.1,10.0,deep,4.3057758045781265
0.1,10.0,medium,3.4539871235061383
0.1,10.0,shallow,3.825192442435307
0.25,25.0,deep,4.332965852963721
0.25,25.0,medium,3.7414879042400533
0.25,25.0,shallow,4.193647533498359
0.5,50.0,deep,4.329176524762
0.5,50.0,medium,3.928029322289675
0.5,50.0,shallow,4.48206904584989
0.75,75.0,deep,4.337699731652382
0.75,75.0,medium,4.040783787937952
0.75,75.0,shallow,4.655279030027254
1.0,100.0,deep,4.3243729179132915
1.0,100.0,medium,4.104405648885613
1.0,100.0,shallow,4.785195869817837
